,Phe,,Cys,,Tyr,,Gln,,Leu,,Asn,,Gly,,Ile,,Pro,,Arg,,Ala,,Asp,,Glu,,His,,Lys,,Met,,Ser,,Thr,,Trp,,Val
1615.7,44.9033,1615.79,84.8196,1615.79,29.9363,1615.7,97.2905,1615.79,104.777,1615.7,52.3872,1615.82,54.8832,1615.7,72.3442,1615.18,39.939,1615.7,59.8711,1615.67,58.87355,1615.67,49.1795,1615.67,34.9244714285714,1615.67,127.72428,1615.67,52.3845142857143,1615.67,54.38316,1615.67,239.488666666667,1615.67,126.393333333333,1615.67,113.170945454545,1615.67,65.6928666666666
1614.7,57.3658,1614.79,99.7692,1614.79,52.3788,1614.7,97.2724,1614.79,99.7692,1614.7,49.8833,1614.82,24.9423,1614.7,82.3075,1614.18,32.4443,1614.7,67.3425,1614.67,57.49115,1614.67,47.0321714285714,1614.67,34.0272357142857,1614.67,131.68844,1614.67,53.0893285714286,1614.67,55.8703,1614.67,221.149333333333,1614.67,125.540333333333,1614.67,111.562490909091,1614.67,63.1852333333333
1613.7,47.3803,1613.78,97.2569,1613.78,62.3442,1613.7,89.7733,1613.78,94.7631,1613.7,49.874,1613.82,37.4065,1613.7,82.2922,1613.18,49.9049,1613.7,62.3425,1613.67,56.6077,1613.67,47.7354571428571,1613.67,34.55435,1613.67,130.67,1613.67,53.0805142857143,1613.67,54.86252,1613.67,229.421333333333,1613.67,125.518666666667,1613.67,111.313309090909,1613.67,68.1606
1612.69,42.3851,1612.78,89.7589,1612.78,54.8527,1612.69,122.169,1612.78,79.7857,1612.69,49.8648,1612.81,37.3995,1612.69,87.2633,1612.18,27.4425,1612.69,77.2904,1612.67,55.9742,1612.67,48.0830857142857,1612.67,34.1918785714286,1612.67,129.64988,1612.67,52.0028428571429,1612.67,52.35816,1612.67,216.0838,1612.67,118.013333333333,1612.67,110.385309090909,1612.67,64.8253
1611.69,52.3483,1611.78,112.178,1611.78,54.8425,1611.69,97.2182,1611.78,119.656,1611.69,49.8555,1611.81,42.3782,1611.69,59.8266,1611.17,32.4259,1611.69,67.3049,1611.66,55.71315,1611.66,50.2116142857143,1611.66,36.5009071428572,1611.66,131.62204,1611.66,52.3508714285714,1611.66,52.34796,1611.66,224.3498,1611.66,121.315,1611.66,110.8164,1611.66,66.4743333333333
1610.69,44.8616,1610.78,134.588,1610.78,64.8018,1610.69,94.7078,1610.78,99.695,1610.69,44.8616,1610.81,27.4161,1610.69,57.3231,1610.17,29.9259,1610.69,74.7693,1610.66,55.20455,1610.66,49.8469571428571,1610.66,36.4951071428572,1610.66,123.62176,1610.66,51.6289714285714,1610.66,57.32192,1610.66,224.3058,1610.66,133.752333333333,1610.66,111.020490909091,1610.66,62.3073333333333
1609.68,59.8043,1609.77,117.12,1609.77,52.3301,1609.68,109.641,1609.77,99.6765,1609.68,59.8043,1609.8,52.3301,1609.68,57.3125,1609.17,29.9203,1609.68,79.7391,1609.66,55.8174,1609.66,51.2612571428571,1609.66,36.1333,1609.66,128.57484,1609.66,48.7697285714286,1609.66,57.8099,1609.66,239.218666666667,1609.66,142.034333333333,1609.66,111.679036363636,1609.66,64.789
1608.68,69.7587,1608.77,97.1665,1608.77,42.3546,1608.68,79.7243,1608.77,109.624,1608.68,52.319,1608.8,34.8802,1608.68,57.3018,1608.17,39.8861,1608.68,94.6726,1608.65,56.05625,1608.65,48.4039571428571,1608.65,33.9902,1608.65,139.51244,1608.65,45.2014571428571,1608.65,58.79634,1608.65,234.190666666667,1608.65,147.823333333333,1608.65,110.297218181818,1608.65,59.7937
1607.68,57.2911,1607.77,94.6574,1607.77,69.7475,1607.68,79.7094,1607.77,107.112,1607.68,47.3275,1607.8,34.8738,1607.68,84.6912,1607.16,29.9089,1607.68,77.2185,1607.65,55.5484,1607.65,48.7517142857143,1607.65,34.5178714285714,1607.65,149.45016,1607.65,46.6156857142857,1607.65,59.28458,1607.65,219.204333333333,1607.65,146.134333333333,1607.65,110.726945454545,1607.65,67.2534666666667
1606.67,69.7327,1606.76,139.469,1606.76,44.8293,1606.67,94.6373,1606.76,97.1302,1606.67,47.3186,1606.79,42.3388,1606.67,67.2423,1606.16,39.871,1606.67,72.2232,1606.65,53.66965,1606.65,48.7419571428571,1606.65,32.3767214285714,1606.65,159.38504,1606.65,46.6068714285714,1606.65,62.75972,1606.65,215.841,1606.65,136.977,1606.65,114.102663636364,1606.65,64.7523
1605.67,69.7197,1605.76,92.132,1605.76,39.8409,1605.67,104.58,1605.76,94.6221,1605.67,52.2898,1605.79,44.821,1605.67,59.7598,1605.16,39.8635,1605.67,131.969,1605.64,55.40215,1605.64,47.6666,1605.64,33.7927428571429,1605.64,166.334,1605.64,48.3760857142857,1605.64,60.755,1605.64,215.797,1605.64,124.502666666667,1605.64,116.573127272727,1605.64,65.5714666666667
1604.66,72.1962,1604.75,126.969,1604.75,44.8126,1604.66,87.1334,1604.75,94.6044,1604.66,42.3219,1604.79,32.3647,1604.66,67.2172,1604.15,22.4189,1604.66,114.518,1604.64,53.89855,1604.64,46.9459428571428,1604.64,32.5412428571429,1604.64,157.3416,1604.64,49.7895142857143,1604.64,63.23292,1604.64,238.993333333333,1604.64,118.667,1604.64,117.685545454545,1604.64,58.9181666666667
1603.66,37.3359,1603.75,131.924,1603.75,47.2934,1603.66,84.6281,1603.75,109.522,1603.66,44.8031,1603.78,39.826,1603.66,72.1828,1603.15,29.8863,1603.66,144.366,1603.63,54.7589,1603.63,48.0037142857143,1603.63,34.6677285714286,1603.63,159.30144,1603.63,52.6232857142857,1603.63,66.208,1603.63,248.906,1603.63,127.769666666667,1603.63,119.022454545455,1603.63,62.2265666666666
1602.66,59.7263,1602.74,134.388,1602.74,32.3526,1602.66,102.032,1602.74,104.524,1602.66,44.7947,1602.78,54.7505,1602.66,69.6807,1602.14,39.8408,1602.66,111.987,1602.63,56.36645,1602.63,48.3483428571428,1602.63,34.8398071428571,1602.63,150.3142,1602.63,52.9693142857143,1602.63,70.6756,1602.63,253.838666666667,1602.63,125.262133333333,1602.63,119.452181818182,1602.63,59.7272666666667
1601.65,69.6677,1601.74,109.481,1601.74,54.7403,1601.65,109.478,1601.74,102.016,1601.65,42.2982,1601.77,44.7875,1601.65,72.1558,1601.14,47.3019,1601.65,149.288,1601.62,56.48095,1601.62,50.8271714285714,1601.62,35.1890142857143,1601.62,143.31748,1601.62,52.9628,1601.62,68.67234,1601.62,235.547333333333,1601.62,119.4328,1601.62,121.013545454545,1601.62,61.3736333333333
1600.65,62.1917,1600.74,124.387,1600.74,57.2178,1600.65,89.556,1600.74,114.436,1600.65,52.241,1600.77,52.2423,1600.65,67.167,1600.14,37.3365,1600.65,181.6,1600.62,53.85835,1600.62,52.2395285714286,1600.62,35.5376857142857,1600.62,144.2852,1600.62,54.0181142857143,1600.62,70.65012,1600.62,228.867333333333,1600.62,112.7728,1600.62,118.731318181818,1600.62,62.1910666666666
1599.64,62.18,1599.73,131.825,1599.73,47.2581,1599.64,109.437,1599.73,92.0288,1599.64,47.2568,1599.76,42.2835,1599.64,59.6928,1599.13,39.8181,1599.64,189.027,1599.61,56.5842,1599.61,51.8746571428571,1599.61,38.1961785714286,1599.61,149.23264,1599.61,52.2337,1599.61,64.67002,1599.61,218.874,1599.61,123.530666666667,1599.61,115.094145454545,1599.61,65.4969666666666
1598.64,69.6286,1598.72,126.827,1598.72,59.6832,1598.64,92.0092,1598.72,109.419,1598.64,24.8674,1598.76,34.8152,1598.64,72.1153,1598.13,27.3697,1598.64,203.912,1598.61,56.44865,1598.61,54.3525571428571,1598.61,38.7208428571429,1598.61,143.23416,1598.61,50.0927,1598.61,63.6622,1598.61,227.123333333333,1598.61,123.509333333333,1598.61,114.168872727273,1598.61,62.1689
1597.63,57.1842,1597.72,146.694,1597.72,54.6994,1597.63,72.1019,1597.72,114.371,1597.63,39.7803,1597.75,27.3497,1597.63,94.4783,1597.12,44.7783,1597.63,246.141,1597.6,56.43775,1597.6,56.1186428571429,1597.6,40.4899357142857,1597.6,158.123,1597.6,50.4374571428571,1597.6,59.17414,1597.6,215.479,1597.6,129.285666666667,1597.6,110.986090909091,1597.6,62.1568
1596.62,64.6309,1596.71,129.265,1596.71,64.6326,1596.62,94.4606,1596.71,136.723,1596.62,52.2019,1596.75,37.288,1596.62,72.0884,1596.12,29.8465,1596.62,243.609,1596.6,57.4217,1596.6,54.3342857142857,1596.6,41.1911571428571,1596.6,157.103,1596.6,48.2949142857143,1596.6,59.1625,1596.6,233.663666666667,1596.6,133.403666666667,1596.6,109.833454545455,1596.6,62.9736
1595.62,79.5309,1595.71,119.299,1595.71,57.1643,1595.62,131.723,1595.71,114.329,1595.62,44.7361,1595.74,34.7956,1595.62,67.1042,1595.11,42.2745,1595.62,290.785,1595.59,60.1455,1595.59,54.6779571428571,1595.59,43.8467142857143,1595.59,161.05012,1595.59,49.7045285714286,1595.59,56.1677,1595.59,231.964333333333,1595.59,134.210333333333,1595.59,106.1976,1595.59,64.619
1594.61,52.1824,1594.7,134.187,1594.7,62.1235,1594.61,104.365,1594.7,119.277,1594.61,42.2429,1594.73,32.3042,1594.61,72.0613,1594.11,42.2665,1594.61,243.518,1594.59,59.63705,1594.59,51.4737428571429,1594.59,45.2593285714286,1594.59,162.01388,1594.59,53.2458428571429,1594.59,61.62494,1594.59,241.864666666667,1594.59,128.386333333333,1594.59,104.595509090909,1594.59,57.9818
1593.61,54.657,1593.7,139.13,1593.7,59.6273,1593.61,94.4075,1593.7,99.3789,1593.61,44.7193,1593.73,52.1739,1593.61,59.6258,1593.1,54.6874,1593.61,206.206,1593.58,60.4951,1593.58,51.8182142857143,1593.58,47.7353785714286,1593.58,162.98024,1593.58,50.7511857142857,1593.58,59.62558,1593.58,251.749333333333,1593.58,117.596,1593.58,105.251963636364,1593.58,57.1417
1592.6,72.0343,1592.69,106.812,1592.69,54.6482,1592.6,101.842,1592.69,119.232,1592.6,39.7431,1592.72,37.2601,1592.6,69.5504,1592.09,32.3091,1592.6,221.071,1592.57,61.3532,1592.57,54.2914428571428,1592.57,50.0322142857143,1592.57,155.99052,1592.57,55.3551142857143,1592.57,63.09156,1592.57,255.018666666667,1592.57,122.541333333333,1592.57,104.552781818182,1592.57,55.4739333333333
1591.59,54.6365,1591.68,116.726,1591.68,44.7037,1591.59,101.823,1591.68,91.891,1591.59,52.153,1591.71,34.7696,1591.59,72.0208,1591.09,29.8181,1591.59,196.195,1591.57,63.4524,1591.57,52.8623857142857,1591.57,50.5554714285714,1591.57,157.9514,1591.57,58.5384428571429,1591.57,68.54152,1591.57,256.631333333333,1591.57,120.034666666667,1591.57,101.5972,1591.57,71.1913
1590.59,64.5583,1590.68,124.154,1590.68,49.6615,1590.59,96.8374,1590.68,134.086,1590.59,47.1772,1590.71,39.7292,1590.59,81.9393,1590.08,49.6873,1590.59,191.192,1590.56,63.93715,1590.56,51.0786,1590.56,53.5607,1590.56,158.91256,1590.56,58.8822285714286,1590.56,71.01288,1590.56,226.784,1590.56,123.324,1590.56,101.347927272727,1590.56,73.6622
1589.58,71.9938,1589.67,121.648,1589.67,62.0652,1589.58,94.3367,1589.67,111.717,1589.58,29.7905,1589.7,37.2391,1589.58,59.5811,1589.08,32.2906,1589.58,173.778,1589.55,65.0427,1589.55,52.8434,1589.55,55.8550571428571,1589.55,158.8818,1589.55,56.7452714285714,1589.55,70.50398,1589.55,223.430666666667,1589.55,121.644333333333,1589.55,101.7807,1589.55,78.6151666666666
1588.57,79.4265,1588.66,131.554,1588.66,57.0893,1588.57,119.14,1588.66,126.589,1588.57,64.534,1588.69,29.7857,1588.57,59.5699,1588.07,39.7347,1588.57,158.853,1588.55,65.0307,1588.55,49.6423,1588.55,56.9089142857143,1588.55,160.83876,1588.55,56.0248571428571,1588.55,74.95934,1588.55,223.386666666667,1588.55,125.758,1588.55,103.794236363636,1588.55,67.8442333333333
1587.56,89.338,1587.65,116.639,1587.65,57.0785,1587.56,121.599,1587.65,116.639,1587.56,47.1506,1587.69,39.7068,1587.56,49.6322,1587.06,47.1759,1587.56,151.378,1587.54,66.7554,1587.54,53.1784714285714,1587.54,59.0263857142857,1587.54,162.79252,1587.54,56.0136571428571,1587.54,75.44196,1587.54,226.654666666667,1587.54,137.314333333333,1587.54,104.224963636364,1587.54,71.1394
1586.56,71.9532,1586.65,99.2484,1586.65,54.5866,1586.56,104.208,1586.65,96.7672,1586.56,42.1795,1586.68,34.7369,1586.56,69.472,1586.05,32.2721,1586.56,151.35,1586.53,67.1145,1586.53,53.1677428571428,1586.53,60.7873857142857,1586.53,162.76544,1586.53,56.0052571428571,1586.53,72.4489,1586.53,246.458,1586.53,134.81,1586.53,105.111418181818,1586.53,63.6833666666666
1585.55,94.2658,1585.64,119.076,1585.64,54.5763,1585.55,99.2271,1585.64,111.633,1585.55,49.6136,1585.67,44.6533,1585.55,62.0169,1585.05,39.7119,1585.55,168.686,1585.52,70.07805,1585.52,51.0300428571428,1585.52,61.4843142857143,1585.52,156.78136,1585.52,53.1591857142857,1585.52,72.43582,1585.52,241.454,1585.52,137.265333333333,1585.52,103.062227272727,1585.52,63.6721666666666
1584.54,91.7678,1584.63,111.612,1584.63,52.0858,1584.54,124.011,1584.63,128.974,1584.54,39.6834,1584.66,42.1647,1584.54,62.0053,1584.04,24.8152,1584.54,173.615,1584.51,69.322,1584.51,53.8541142857143,1584.51,62.8914285714286,1584.51,158.734,1584.51,52.7929285714286,1584.51,74.4071,1584.51,239.758666666667,1584.51,124.011333333333,1584.51,103.721209090909,1584.51,57.8711333333333
1583.53,104.149,1583.62,116.551,1583.62,59.5154,1583.53,111.588,1583.62,111.591,1583.53,47.1151,1583.65,42.1567,1583.53,59.5139,1583.03,37.2157,1583.53,156.224,1583.51,71.04515,1583.51,53.4912,1583.51,63.2333571428571,1583.51,160.68716,1583.51,55.2600714285714,1583.51,78.35826,1583.51,218.218666666667,1583.51,130.600333333333,1583.51,102.125490909091,1583.51,58.6877666666666
1582.52,123.964,1582.61,128.926,1582.61,54.5455,1582.52,116.526,1582.61,106.612,1582.52,44.627,1582.65,42.1488,1582.52,71.899,1582.02,29.7669,1582.52,141.319,1582.5,72.64265,1582.5,54.5433428571428,1582.5,65.5216428571429,1582.5,172.55036,1582.5,60.5623571428571,1582.5,83.30094,1582.5,223.134666666667,1582.5,120.659,1582.5,101.653218181818,1582.5,63.6342
1581.52,138.813,1581.61,131.38,1581.61,47.0986,1581.52,104.11,1581.61,116.507,1581.52,47.0974,1581.64,34.7042,1581.52,44.6186,1581.02,32.2412,1581.52,141.292,1581.49,74.48775,1581.49,58.4289428571428,1581.49,68.3422142857143,1581.49,173.51444,1581.49,65.5064428571428,1581.49,90.72064,1581.49,234.659333333333,1581.49,123.941666666667,1581.49,99.3808363636364,1581.49,62.7964
1580.51,153.657,1580.6,76.8306,1580.6,27.2625,1580.51,91.6987,1580.6,104.093,1580.51,44.6102,1580.63,44.6113,1580.51,42.1318,1580.01,27.2758,1580.51,166.049,1580.48,73.6057,1580.48,55.9403142857143,1580.48,70.9849285714286,1580.48,178.44216,1580.48,67.2644857142857,1580.48,106.06744,1580.48,247.833333333333,1580.48,123.915333333333,1580.48,101.8396,1580.48,68.5678333333333
1579.5,146.195,1579.59,109.029,1579.59,32.2132,1579.5,109.027,1579.59,111.507,1579.5,37.1681,1579.62,32.2132,1579.5,71.8584,1579,32.2289,1579.5,161.062,1579.47,74.8326,1579.47,56.2833428571428,1579.47,72.0336428571429,1579.47,183.36332,1579.47,71.5014714285714,1579.47,118.43814,1579.47,247.79,1579.47,132.978666666667,1579.47,100.015872727273,1579.47,71.8570333333333
1578.49,158.554,1578.58,118.919,1578.58,32.2071,1578.49,104.051,1578.58,96.6214,1578.49,52.0256,1578.61,39.6395,1578.49,59.4578,1577.99,32.2227,1578.49,163.509,1578.46,75.1904,1578.46,55.5660857142857,1578.46,73.4361428571429,1578.46,180.35976,1578.46,72.9074571428571,1578.46,127.83,1578.46,234.532,1578.46,140.386333333333,1578.46,100.446690909091,1578.46,72.6714666666666
1577.48,156.047,1577.57,111.465,1577.57,44.5861,1577.48,118.893,1577.57,141.189,1577.48,47.0619,1577.6,39.6321,1577.48,61.9235,1576.98,32.2165,1577.48,128.801,1577.45,73.9374,1577.45,55.5534571428571,1577.45,76.4309285714286,1577.45,167.44072,1577.45,72.1884714285714,1577.45,137.2202,1577.45,232.832,1577.45,146.138666666667,1577.45,102.676690909091,1577.45,75.1344
1576.47,165.924,1576.56,111.444,1576.56,49.5307,1576.47,123.824,1576.56,131.256,1576.47,52.0059,1576.59,27.2419,1576.47,71.8177,1575.97,19.8218,1576.47,151.065,1576.44,73.67475,1576.44,59.7880285714285,1576.44,80.8380714285715,1576.44,178.30492,1576.44,71.1132285714286,1576.44,143.6356,1576.44,244.342666666667,1576.44,137.034333333333,1576.44,101.531018181818,1576.44,64.3891
1575.46,153.512,1575.55,106.471,1575.55,39.6171,1575.46,133.704,1575.55,123.803,1575.46,47.0441,1575.58,39.6171,1575.46,59.4241,1574.96,52.0221,1575.46,153.512,1575.43,72.42305,1575.43,59.7768,1575.43,84.8878571428572,1575.43,187.18328,1575.43,69.3311428571429,1575.43,143.113,1575.43,257.505333333333,1575.43,130.405333333333,1575.43,102.638618181818,1575.43,67.6781333333333
1574.45,128.728,1574.54,116.353,1574.54,54.4632,1574.45,96.5459,1574.54,121.304,1574.45,39.6086,1574.57,17.3292,1574.45,64.364,1573.95,42.1051,1574.45,128.728,1574.42,74.26625,1574.42,59.4107142857143,1574.42,88.0543571428572,1574.42,181.2068,1574.42,67.9000285714286,1574.42,143.5822,1574.42,255.808,1574.42,126.250666666667,1574.42,104.419990909091,1574.42,67.6631333333333
1573.44,153.454,1573.53,131.182,1573.53,27.2265,1573.44,111.378,1573.53,153.458,1573.44,34.651,1573.56,39.6021,1573.44,59.4016,1572.95,29.7155,1573.44,148.504,1573.41,73.63365,1573.41,61.1691857142857,1573.41,93.8703571428572,1573.41,184.14672,1573.41,69.6533571428571,1573.41,139.1012,1573.41,242.559333333333,1573.41,132.004,1573.41,105.300954545455,1573.41,73.4274
1572.43,131.154,1572.52,96.5119,1572.52,66.816,1572.43,106.408,1572.52,121.259,1572.43,49.492,1572.55,29.696,1572.43,69.2888,1571.94,49.5163,1572.43,131.154,1572.4,73.86725,1572.4,61.5112714285714,1572.4,99.8626428571429,1572.4,194.99896,1572.4,67.5194285714286,1572.4,132.642,1572.4,242.511333333333,1572.4,136.928333333333,1572.4,107.757309090909,1572.4,72.5891
1571.42,143.5,1571.51,131.132,1571.51,54.4323,1571.42,111.336,1571.51,143.503,1571.42,47.0085,1571.54,34.6387,1571.42,59.3792,1570.93,54.4575,1571.42,126.181,1571.39,73.97605,1571.39,64.6816142857143,1571.39,106.560071428571,1571.39,191.00356,1571.39,68.5684,1571.39,120.74338,1571.39,237.517333333333,1571.39,138.550333333333,1571.39,107.960945454545,1571.39,67.6267666666666
